property	kind	url	experimental	unstable	obsolete	deprecated
matchMedia()	method	/en-US/docs/Web/API/Window/matchMedia	false	false	false	false
minimize()	method	/en-US/docs/Web/API/Window/minimize	false	false	false	false
moveBy()	method	/en-US/docs/Web/API/Window/moveBy	false	false	false	false
moveTo()	method	/en-US/docs/Web/API/Window/moveTo	false	false	false	false
open()	method	/en-US/docs/Web/API/Window/open	false	false	false	false
openDialog()	method	/en-US/docs/Web/API/Window/openDialog	false	true	false	false
postMessage()	method	/en-US/docs/Web/API/Window/postMessage	false	false	false	false
print()	method	/en-US/docs/Web/API/Window/print	false	false	false	false
prompt()	method	/en-US/docs/Web/API/Window/prompt	false	false	false	false
queueMicrotask()	method	/en-US/docs/Web/API/WindowOrWorkerGlobalScope/queueMicrotask	false	false	false	false
releaseEvents()	method	/en-US/docs/Web/API/Window/releaseEvents	false	true	false	false
requestAnimationFrame()	method	/en-US/docs/Web/API/window/requestAnimationFrame	false	false	false	false
requestFileSystem()	method	/en-US/docs/Web/API/Window/requestFileSystem	false	true	false	true
requestIdleCallback()	method	/en-US/docs/Web/API/Window/requestIdleCallback	false	false	false	false
resizeBy()	method	/en-US/docs/Web/API/Window/resizeBy	false	false	false	false
resizeTo()	method	/en-US/docs/Web/API/Window/resizeTo	false	false	false	false
restore()	method	/en-US/docs/Web/API/Window/restore	false	false	false	false
routeEvent()	method	/en-US/docs/Web/API/Window/routeEvent	false	false	true	false
scroll()	method	/en-US/docs/Web/API/Window/scroll	false	false	false	false
scrollBy()	method	/en-US/docs/Web/API/Window/scrollBy	false	false	false	false
scrollByLines()	method	/en-US/docs/Web/API/Window/scrollByLines	false	true	false	false
scrollByPages()	method	/en-US/docs/Web/API/Window/scrollByPages	false	true	false	false
scrollTo()	method	/en-US/docs/Web/API/Window/scrollTo	false	false	false	false
setCursor()	method	/en-US/docs/Web/API/Window/setCursor	false	true	false	false
setImmediate()	method	/en-US/docs/Web/API/Window/setImmediate	false	true	false	false
setInterval()	method	/en-US/docs/Web/API/WindowOrWorkerGlobalScope/setInterval	false	false	false	false
setTimeout()	method	/en-US/docs/Web/API/WindowOrWorkerGlobalScope/setTimeout	false	false	false	false
showModalDialog()	method	/en-US/docs/Web/API/Window/showModalDialog	false	false	false	true
sizeToContent()	method	/en-US/docs/Web/API/Window/sizeToContent	false	false	false	false
stop()	method	/en-US/docs/Web/API/Window/stop	false	false	false	false
updateCommands()	method	/en-US/docs/Web/API/Window/updateCommands	false	false	false	false
